filter_id,variant,expression,layman_explanation,stat,source,layman
22F340,tens,(sum(1 for d in combo_digits if d in seed_digits)>=3 and winner<15 and winner_structure == 5 and winner_structure == 5),Eliminate based on a custom tens-digit condition.,13/311,keeper,Eliminate if condition holds: (sum(1 for d in combo_digits if d in seed_digits)>=3 and winner<15 and winner_structure == 5 and winner_structure == 5)
22F357,tens,(prev_seed_sum > 20 and seed < 20 and winner < 20),Eliminate based on a custom tens-digit condition.,222/311,keeper,Eliminate if condition holds: (prev_seed_sum > 20 and seed < 20 and winner < 20)
23F282,tens,(sum(1 for d in combo_digits if d in seed_digits) >=4 and winner <20 and winner_structure == 5 and winner_structure == 5),Eliminate based on a custom tens-digit condition.,30/311,keeper,Eliminate if condition holds: (sum(1 for d in combo_digits if d in seed_digits) >=4 and winner <20 and winner_structure == 5 and winner_structure == 5)
23F536,tens,((25 <= seed <= 33) and (0 <= winner <= 15)),Eliminate based on a custom tens-digit condition.,2/311,keeper,Eliminate if condition holds: ((25 <= seed <= 33) and (0 <= winner <= 15))
24F554,tens,"(not any(mirror.get(d,None) in combo_digits for d in combo_digits) and all(d % 2 == 1 for d in combo_digits))",Eliminate based on a custom tens-digit condition.,0/311,keeper,"Eliminate based on mirror digit relationship ((not any(mirror.get(d,None) in combo_digits for d in combo_digits) and all(d % 2 == 1 for d in combo_digits)))"
254F555,tens,(sum(1 for d in combo_digits if mirror.get(d) in combo_digits) >= 4),Eliminate based on a custom tens-digit condition.,262/311,keeper,Eliminate based on mirror digit relationship ((sum(1 for d in combo_digits if mirror.get(d) in combo_digits) >= 4))
25F351,tens,(sum(1 for d in combo_digits if d in seed_digits)>=1 and winner<12 and winner_structure == 5 and winner_structure == 5),Eliminate based on a custom tens-digit condition.,6/311,keeper,Eliminate if condition holds: (sum(1 for d in combo_digits if d in seed_digits)>=1 and winner<12 and winner_structure == 5 and winner_structure == 5)
26F347,tens,(sum(1 for d in combo_digits if d in seed_digits)>=2 and winner<13 and winner_structure == 5 and winner_structure == 5),Eliminate based on a custom tens-digit condition.,9/311,keeper,Eliminate if condition holds: (sum(1 for d in combo_digits if d in seed_digits)>=2 and winner<13 and winner_structure == 5 and winner_structure == 5)
29F281,tens,(sum(1 for d in combo_digits if d in seed_digits) >=4 and winner <21 and winner_structure == 5 and winner_structure == 5),Eliminate based on a custom tens-digit condition.,31/311,keeper,Eliminate if condition holds: (sum(1 for d in combo_digits if d in seed_digits) >=4 and winner <21 and winner_structure == 5 and winner_structure == 5)
29F283,tens,(sum(1 for d in combo_digits if d in seed_digits) >=4 and winner <19 and winner_structure == 5 and winner_structure == 5),Eliminate based on a custom tens-digit condition.,26/311,keeper,Eliminate if condition holds: (sum(1 for d in combo_digits if d in seed_digits) >=4 and winner <19 and winner_structure == 5 and winner_structure == 5)
29F550DD,tens,"(any(mirror.get(d,None) in combo_digits for d in combo_digits) and sorted(Counter(combo_digits).values()) == [2, 2, 1])",Eliminate based on a custom tens-digit condition.,0/311,keeper,"Eliminate based on mirror digit relationship ((any(mirror.get(d,None) in combo_digits for d in combo_digits) and sorted(Counter(combo_digits).values()) == [2, 2, 1]))"
2F218,tens,(len(set(combo_vtracs))==1),Eliminate based on a custom tens-digit condition.,0/311,keeper,Eliminate if condition holds: (len(set(combo_vtracs))==1)
2F227,tens,(winner==39 and seed<30),Eliminate based on a custom tens-digit condition.,0/311,keeper,Eliminate if condition holds: (winner==39 and seed<30)
2F231,tens,(winner==8),Eliminate based on a custom tens-digit condition.,5/311,keeper,Eliminate if condition holds: (winner==8)
2F234,tens,(winner==36 and seed<30),Eliminate based on a custom tens-digit condition.,0/311,keeper,Eliminate if condition holds: (winner==36 and seed<30)
2F292,tens,(sum(1 for d in combo_digits if d in seed_digits) >=5 and winner <20 and winner_structure == 5 and winner_structure == 5),Eliminate based on a custom tens-digit condition.,30/311,keeper,Eliminate if condition holds: (sum(1 for d in combo_digits if d in seed_digits) >=5 and winner <20 and winner_structure == 5 and winner_structure == 5)
2F293,tens,(sum(1 for d in combo_digits if d in seed_digits) >=5 and winner <19 and winner_structure == 5 and winner_structure == 5),Eliminate based on a custom tens-digit condition.,26/311,keeper,Eliminate if condition holds: (sum(1 for d in combo_digits if d in seed_digits) >=5 and winner <19 and winner_structure == 5 and winner_structure == 5)
2F294,tens,(sum(1 for d in combo_digits if d in seed_digits) >=5 and winner <18 and winner_structure == 5 and winner_structure == 5),Eliminate based on a custom tens-digit condition.,25/311,keeper,Eliminate if condition holds: (sum(1 for d in combo_digits if d in seed_digits) >=5 and winner <18 and winner_structure == 5 and winner_structure == 5)
2F336,tens,(sum(1 for d in combo_digits if d in seed_digits)>=4 and winner<10 and winner_structure == 5 and winner_structure == 5 and winner_structure == 5 and winner_structure == 5),Eliminate based on a custom tens-digit condition.,2/311,keeper,Eliminate if condition holds: (sum(1 for d in combo_digits if d in seed_digits)>=4 and winner<10 and winner_structure == 5 and winner_structure == 5 and winner_structure == 5 and winner_structure == 5)
2F568,tens,(len(set(combo_digits)) == 5),Eliminate based on a custom tens-digit condition.,54/311,keeper,Eliminate if condition holds: (len(set(combo_digits)) == 5)
2F576,tens,"(sorted(Counter(combo_digits).values()) == [2, 2, 1])",Eliminate based on a custom tens-digit condition.,0/311,keeper,"Eliminate if condition holds: (sorted(Counter(combo_digits).values()) == [2, 2, 1])"
2F581,tens,(3 in Counter(combo_digits).values()),Eliminate based on a custom tens-digit condition.,167/311,keeper,Eliminate if condition holds: (3 in Counter(combo_digits).values())
2F584,tens,(3 in Counter(combo_digits).values()),Eliminate based on a custom tens-digit condition.,167/311,keeper,Eliminate if condition holds: (3 in Counter(combo_digits).values())
2F586,tens,"(sorted(Counter(combo_digits).values()) == [2, 2, 1])",Eliminate based on a custom tens-digit condition.,0/311,keeper,"Eliminate if condition holds: (sorted(Counter(combo_digits).values()) == [2, 2, 1])"
2F591,tens,(3 in Counter(combo_digits).values()),Eliminate based on a custom tens-digit condition.,167/311,keeper,Eliminate if condition holds: (3 in Counter(combo_digits).values())
2F592,tens,"(sorted(Counter(combo_digits).values()) == [2, 2, 1])",Eliminate based on a custom tens-digit condition.,0/311,keeper,"Eliminate if condition holds: (sorted(Counter(combo_digits).values()) == [2, 2, 1])"
2F593,tens,"(sorted(Counter(combo_digits).values()) == [2, 2, 1])",Eliminate based on a custom tens-digit condition.,0/311,keeper,"Eliminate if condition holds: (sorted(Counter(combo_digits).values()) == [2, 2, 1])"
2F597,tens,"(sorted(Counter(combo_digits).values()) == [2, 2, 1])",Eliminate based on a custom tens-digit condition.,0/311,keeper,"Eliminate if condition holds: (sorted(Counter(combo_digits).values()) == [2, 2, 1])"
2F599,tens,"(sorted(Counter(combo_digits).values()) == [2, 2, 1])",Eliminate based on a custom tens-digit condition.,0/311,keeper,"Eliminate if condition holds: (sorted(Counter(combo_digits).values()) == [2, 2, 1])"
2F602,tens,"(sorted(Counter(combo_digits).values()) == [2, 2, 1])",Eliminate based on a custom tens-digit condition.,0/311,keeper,"Eliminate if condition holds: (sorted(Counter(combo_digits).values()) == [2, 2, 1])"
2F607,tens,(3 in Counter(combo_digits).values()),Eliminate based on a custom tens-digit condition.,167/311,keeper,Eliminate if condition holds: (3 in Counter(combo_digits).values())
2F609,tens,"(sorted(Counter(combo_digits).values()) == [2, 2, 1])",Eliminate based on a custom tens-digit condition.,0/311,keeper,"Eliminate if condition holds: (sorted(Counter(combo_digits).values()) == [2, 2, 1])"
2F614,tens,"(sorted(Counter(combo_digits).values()) == [2, 2, 1])",Eliminate based on a custom tens-digit condition.,0/311,keeper,"Eliminate if condition holds: (sorted(Counter(combo_digits).values()) == [2, 2, 1])"
2F615,tens,(3 in Counter(combo_digits).values()),Eliminate based on a custom tens-digit condition.,167/311,keeper,Eliminate if condition holds: (3 in Counter(combo_digits).values())
2F619,tens,(3 in Counter(combo_digits).values()),Eliminate based on a custom tens-digit condition.,167/311,keeper,Eliminate if condition holds: (3 in Counter(combo_digits).values())
2F629,tens,(winner < 13),Eliminate based on a custom tens-digit condition.,76/311,keeper,Eliminate if condition holds: (winner < 13)
2F630,tens,(winner < 12),Eliminate based on a custom tens-digit condition.,56/311,keeper,Eliminate if condition holds: (winner < 12)
2F632,tens,(sum(d % 2 == 0 for d in combo_digits) == 1),Eliminate based on a custom tens-digit condition.,1/311,keeper,Eliminate if condition holds: (sum(d % 2 == 0 for d in combo_digits) == 1)
2F635,tens,(winner < 18),Eliminate based on a custom tens-digit condition.,218/311,keeper,Eliminate if condition holds: (winner < 18)
2F636,tens,(winner > 32),Eliminate if the tens sum is greater than 32.,0/311,keeper,Eliminate if condition holds: (winner > 32)
2F644,tens,(winner < 10),Eliminate based on a custom tens-digit condition.,26/311,keeper,Eliminate if condition holds: (winner < 10)
2F646,tens,(winner < 9),Eliminate based on a custom tens-digit condition.,16/311,keeper,Eliminate if condition holds: (winner < 9)
2F648,tens,(winner < 13),Eliminate based on a custom tens-digit condition.,76/311,keeper,Eliminate if condition holds: (winner < 13)
2F649,tens,(winner > 33),Eliminate if the tens sum is greater than 33.,0/311,keeper,Eliminate if condition holds: (winner > 33)
2F653,tens,(winner > 31),Eliminate if the tens sum is greater than 31.,0/311,keeper,Eliminate if condition holds: (winner > 31)
2F655,tens,(winner > 32),Eliminate if the tens sum is greater than 32.,0/311,keeper,Eliminate if condition holds: (winner > 32)
2F657,tens,(winner > 40),Eliminate if the tens sum is greater than 40.,0/311,keeper,Eliminate if condition holds: (winner > 40)
2F659,tens,(winner > 35),Eliminate if the tens sum is greater than 35.,0/311,keeper,Eliminate if condition holds: (winner > 35)
2F661,tens,(winner > 37),Eliminate if the tens sum is greater than 37.,0/311,keeper,Eliminate if condition holds: (winner > 37)
2F664,tens,(winner > 37),Eliminate if the tens sum is greater than 37.,0/311,keeper,Eliminate if condition holds: (winner > 37)
2F671,tens,(winner > 37),Eliminate if the tens sum is greater than 37.,0/311,keeper,Eliminate if condition holds: (winner > 37)
2F674,tens,(winner > 31),Eliminate if the tens sum is greater than 31.,0/311,keeper,Eliminate if condition holds: (winner > 31)
2F679,tens,(winner > 34),Eliminate if the tens sum is greater than 34.,0/311,keeper,Eliminate if condition holds: (winner > 34)
2F680,tens,(winner > 36),Eliminate if the tens sum is greater than 36.,0/311,keeper,Eliminate if condition holds: (winner > 36)
2F685,tens,(winner > 33),Eliminate if the tens sum is greater than 33.,0/311,keeper,Eliminate if condition holds: (winner > 33)
2F692,tens,(winner > 35),Eliminate if the tens sum is greater than 35.,0/311,keeper,Eliminate if condition holds: (winner > 35)
2F695,tens,(sum(d % 2 == 1 for d in combo_digits) == 2),Eliminate based on a custom tens-digit condition.,15/311,keeper,Eliminate if condition holds: (sum(d % 2 == 1 for d in combo_digits) == 2)
2F707,tens,(winner > 31),Eliminate if the tens sum is greater than 31.,0/311,keeper,Eliminate if condition holds: (winner > 31)
2F709,tens,(winner > 35),Eliminate if the tens sum is greater than 35.,0/311,keeper,Eliminate if condition holds: (winner > 35)
31F323,tens,(all(d>=5 for d in combo_digits)),Eliminate based on a custom tens-digit condition.,0/311,keeper,Eliminate if condition holds: (all(d>=5 for d in combo_digits))
32F339,tens,(sum(1 for d in combo_digits if d in seed_digits)>=3 and winner<16 and winner_structure == 5 and winner_structure == 5),Eliminate based on a custom tens-digit condition.,19/311,keeper,Eliminate if condition holds: (sum(1 for d in combo_digits if d in seed_digits)>=3 and winner<16 and winner_structure == 5 and winner_structure == 5)
32F532,tens,((16 <= seed <= 24) and (34 <= winner <= 45)),Eliminate based on a custom tens-digit condition.,0/311,keeper,Eliminate if condition holds: ((16 <= seed <= 24) and (34 <= winner <= 45))
33F245,tens,"(any(set(range(n,n+4)).issubset(set(combo_digits)) for n in range(7))and winner_structure == 5 and winner_structure == 5)",Eliminate based on a custom tens-digit condition.,8/311,keeper,"Eliminate if condition holds: (any(set(range(n,n+4)).issubset(set(combo_digits)) for n in range(7))and winner_structure == 5 and winner_structure == 5)"
346F551,tens,"(any(mirror.get(d,None) in combo_digits for d in combo_digits) and not all(d % 2 == 1 for d in combo_digits))",Eliminate based on a custom tens-digit condition.,305/311,keeper,"Eliminate based on mirror digit relationship ((any(mirror.get(d,None) in combo_digits for d in combo_digits) and not all(d % 2 == 1 for d in combo_digits)))"
34F284,tens,(sum(1 for d in combo_digits if d in seed_digits) >=4 and winner <18 and winner_structure == 5 and winner_structure == 5),Eliminate based on a custom tens-digit condition.,25/311,keeper,Eliminate if condition holds: (sum(1 for d in combo_digits if d in seed_digits) >=4 and winner <18 and winner_structure == 5 and winner_structure == 5)
35F346,tens,(sum(1 for d in combo_digits if d in seed_digits)>=2 and winner<14 and winner_structure == 5 and winner_structure == 5),Eliminate based on a custom tens-digit condition.,9/311,keeper,Eliminate if condition holds: (sum(1 for d in combo_digits if d in seed_digits)>=2 and winner<14 and winner_structure == 5 and winner_structure == 5)
37F285,tens,(sum(1 for d in combo_digits if d in seed_digits) >=4 and winner <17 and winner_structure == 5 and winner_structure == 5),Eliminate based on a custom tens-digit condition.,24/311,keeper,Eliminate if condition holds: (sum(1 for d in combo_digits if d in seed_digits) >=4 and winner <17 and winner_structure == 5 and winner_structure == 5)
39F286,tens,(sum(1 for d in combo_digits if d in seed_digits) >=4 and winner <16 and winner_structure == 5 and winner_structure == 5),Eliminate based on a custom tens-digit condition.,19/311,keeper,Eliminate if condition holds: (sum(1 for d in combo_digits if d in seed_digits) >=4 and winner <16 and winner_structure == 5 and winner_structure == 5)
3F187,tens,(any(v >=4 for v in Counter(combo_digits).values())),Eliminate based on a custom tens-digit condition.,47/311,keeper,Eliminate if condition holds: (any(v >=4 for v in Counter(combo_digits).values()))
3F209,tens,(winner <10 or winner >29),Eliminate if the tens sum is greater than 29.,26/311,keeper,Eliminate if condition holds: (winner <10 or winner >29)
3F211,tens,(winner <7 or winner >26),Eliminate if the tens sum is greater than 26.,4/311,keeper,Eliminate if condition holds: (winner <7 or winner >26)
3F232,tens,(winner==7),Eliminate based on a custom tens-digit condition.,7/311,keeper,Eliminate if condition holds: (winner==7)
3F233,tens,(winner==6),Eliminate based on a custom tens-digit condition.,2/311,keeper,Eliminate if condition holds: (winner==6)
3F291,tens,(sum(1 for d in combo_digits if d in seed_digits) >=5 and winner <21 and winner_structure == 5 and winner_structure == 5),Eliminate based on a custom tens-digit condition.,31/311,keeper,Eliminate if condition holds: (sum(1 for d in combo_digits if d in seed_digits) >=5 and winner <21 and winner_structure == 5 and winner_structure == 5)
3F572,tens,(3 in Counter(combo_digits).values()),Eliminate based on a custom tens-digit condition.,167/311,keeper,Eliminate if condition holds: (3 in Counter(combo_digits).values())
3F580,tens,"(sorted(Counter(combo_digits).values()) == [2, 2, 1])",Eliminate based on a custom tens-digit condition.,0/311,keeper,"Eliminate if condition holds: (sorted(Counter(combo_digits).values()) == [2, 2, 1])"
3F585,tens,"(sorted(Counter(combo_digits).values()) == [2, 2, 1])",Eliminate based on a custom tens-digit condition.,0/311,keeper,"Eliminate if condition holds: (sorted(Counter(combo_digits).values()) == [2, 2, 1])"
3F588,tens,(3 in Counter(combo_digits).values()),Eliminate based on a custom tens-digit condition.,167/311,keeper,Eliminate if condition holds: (3 in Counter(combo_digits).values())
3F598,tens,(3 in Counter(combo_digits).values()),Eliminate based on a custom tens-digit condition.,167/311,keeper,Eliminate if condition holds: (3 in Counter(combo_digits).values())
3F600,tens,(3 in Counter(combo_digits).values()),Eliminate based on a custom tens-digit condition.,167/311,keeper,Eliminate if condition holds: (3 in Counter(combo_digits).values())
3F604,tens,(3 in Counter(combo_digits).values()),Eliminate based on a custom tens-digit condition.,167/311,keeper,Eliminate if condition holds: (3 in Counter(combo_digits).values())
3F640,tens,(sum(d % 2 == 0 for d in combo_digits) == 1),Eliminate based on a custom tens-digit condition.,1/311,keeper,Eliminate if condition holds: (sum(d % 2 == 0 for d in combo_digits) == 1)
3F641,tens,(winner < 14),Eliminate based on a custom tens-digit condition.,101/311,keeper,Eliminate if condition holds: (winner < 14)
3F651,tens,(winner > 36),Eliminate if the tens sum is greater than 36.,0/311,keeper,Eliminate if condition holds: (winner > 36)
3F677,tens,(winner > 34),Eliminate if the tens sum is greater than 34.,0/311,keeper,Eliminate if condition holds: (winner > 34)
3F683,tens,(winner > 36),Eliminate if the tens sum is greater than 36.,0/311,keeper,Eliminate if condition holds: (winner > 36)
3F708,tens,(winner > 23),Eliminate if the tens sum is greater than 23.,5/311,keeper,Eliminate if condition holds: (winner > 23)
40F198,tens,(not any(d in cold_digits for d in combo_digits)),Eliminate based on a custom tens-digit condition.,59/311,keeper,Eliminate if condition holds: (not any(d in cold_digits for d in combo_digits))
42F356,tens,(winner%2==0),Eliminate based on a custom tens-digit condition.,148/311,keeper,Eliminate if condition holds: (winner%2==0)
44F287,tens,(sum(1 for d in combo_digits if d in seed_digits) >=4 and winner <25 and winner_structure == 5 and winner_structure == 5),Eliminate based on a custom tens-digit condition.,31/311,keeper,Eliminate if condition holds: (sum(1 for d in combo_digits if d in seed_digits) >=4 and winner <25 and winner_structure == 5 and winner_structure == 5)
45F541,tens,(winner_structure == 5),Eliminate based on a custom tens-digit condition.,32/311,keeper,Eliminate if condition holds: (winner_structure == 5)
47F338,tens,(sum(1 for d in combo_digits if d in seed_digits)>=3 and winner<17 and winner_structure == 5 and winner_structure == 5),Eliminate based on a custom tens-digit condition.,24/311,keeper,Eliminate if condition holds: (sum(1 for d in combo_digits if d in seed_digits)>=3 and winner<17 and winner_structure == 5 and winner_structure == 5)
4F090,tens,(winner % 10 == 3),Eliminate if the tens sum ends in 3.,34/311,keeper,Eliminate if condition holds: (winner % 10 == 3)
4F228,tens,(winner==40 and seed<30),Eliminate based on a custom tens-digit condition.,0/311,keeper,Eliminate if condition holds: (winner==40 and seed<30)
4F230,tens,(winner==9),Eliminate based on a custom tens-digit condition.,10/311,keeper,Eliminate if condition holds: (winner==9)
4F312,tens,(sum(1 for d in combo_digits if d in seed_digits) >=4 and winner <12 and winner_structure == 5 and winner_structure == 5),Eliminate based on a custom tens-digit condition.,6/311,keeper,Eliminate if condition holds: (sum(1 for d in combo_digits if d in seed_digits) >=4 and winner <12 and winner_structure == 5 and winner_structure == 5)
4F313,tens,(sum(1 for d in combo_digits if d in seed_digits) >=4 and winner <11 and winner_structure == 5 and winner_structure == 5),Eliminate based on a custom tens-digit condition.,5/311,keeper,Eliminate if condition holds: (sum(1 for d in combo_digits if d in seed_digits) >=4 and winner <11 and winner_structure == 5 and winner_structure == 5)
4F565,tens,(len(set(combo_digits).intersection(seed_digits)) > 1),Eliminate based on a custom tens-digit condition.,311/311,keeper,Eliminate if condition holds: (len(set(combo_digits).intersection(seed_digits)) > 1)
4F575,tens,(3 in Counter(combo_digits).values()),Eliminate based on a custom tens-digit condition.,167/311,keeper,Eliminate if condition holds: (3 in Counter(combo_digits).values())
4F618,tens,(len(set(combo_digits)) == 5),Eliminate based on a custom tens-digit condition.,54/311,keeper,Eliminate if condition holds: (len(set(combo_digits)) == 5)
4F626,tens,(sum(d % 2 == 0 for d in combo_digits) == 1),Eliminate based on a custom tens-digit condition.,1/311,keeper,Eliminate if condition holds: (sum(d % 2 == 0 for d in combo_digits) == 1)
4F628,tens,(winner > 25),Eliminate if the tens sum is greater than 25.,2/311,keeper,Eliminate if condition holds: (winner > 25)
50F254,tens,(not (16<=winner<=25)),Eliminate based on a custom tens-digit condition.,167/311,keeper,Eliminate if condition holds: (not (16<=winner<=25))
52F288,tens,(sum(1 for d in combo_digits if d in seed_digits) >=4 and winner <36 and winner_structure == 5 and winner_structure == 5),Eliminate based on a custom tens-digit condition.,32/311,keeper,Eliminate if condition holds: (sum(1 for d in combo_digits if d in seed_digits) >=4 and winner <36 and winner_structure == 5 and winner_structure == 5)
54F289,tens,(sum(1 for d in combo_digits if d in seed_digits) >=4 and winner <37 and winner_structure == 5 and winner_structure == 5),Eliminate based on a custom tens-digit condition.,32/311,keeper,Eliminate if condition holds: (sum(1 for d in combo_digits if d in seed_digits) >=4 and winner <37 and winner_structure == 5 and winner_structure == 5)
56F337,tens,(sum(1 for d in combo_digits if d in seed_digits)>=3 and winner<18 and winner_structure == 5 and winner_structure == 5),Eliminate based on a custom tens-digit condition.,25/311,keeper,Eliminate if condition holds: (sum(1 for d in combo_digits if d in seed_digits)>=3 and winner<18 and winner_structure == 5 and winner_structure == 5)
58F335,tens,"(not any(mirror.get(d,-1) in combo_digits for d in seed_digits) and winner_structure == 5 and winner_structure == 5)",Eliminate based on a custom tens-digit condition.,0/311,keeper,"Eliminate based on mirror digit relationship ((not any(mirror.get(d,-1) in combo_digits for d in seed_digits) and winner_structure == 5 and winner_structure == 5))"
59F255,tens,(not (14<=winner<=24)),Eliminate based on a custom tens-digit condition.,104/311,keeper,Eliminate if condition holds: (not (14<=winner<=24))
59F262,tens,(winner<14 or winner>24),Eliminate based on a custom tens-digit condition.,104/311,keeper,Eliminate if condition holds: (winner<14 or winner>24)
59F332,tens,(winner<14 or winner>24),Eliminate based on a custom tens-digit condition.,104/311,keeper,Eliminate if condition holds: (winner<14 or winner>24)
5F559,tens,"(sorted(Counter(combo_digits).values()) == [2, 3] and any(d in mirror.values() for d in combo_digits) and sum(d <= 4 for d in combo_digits) < 4)",Eliminate based on a custom tens-digit condition.,0/311,keeper,"Eliminate based on mirror digit relationship ((sorted(Counter(combo_digits).values()) == [2, 3] and any(d in mirror.values() for d in combo_digits) and sum(d <= 4 for d in combo_digits) < 4))"
5F566,tens,(len(set(combo_digits).intersection(seed_digits)) > 2),Eliminate based on a custom tens-digit condition.,298/311,keeper,Eliminate if condition holds: (len(set(combo_digits).intersection(seed_digits)) > 2)
5F569,tens,(len(set(combo_digits).intersection(seed_digits)) >= 3),Eliminate based on a custom tens-digit condition.,298/311,keeper,Eliminate if condition holds: (len(set(combo_digits).intersection(seed_digits)) >= 3)
5F570,tens,(list(Counter(combo_digits).values()).count(2) + list(Counter(combo_digits).values()).count(3) > 1),Eliminate based on a custom tens-digit condition.,271/311,keeper,Eliminate if condition holds: (list(Counter(combo_digits).values()).count(2) + list(Counter(combo_digits).values()).count(3) > 1)
5F577,tens,(3 in Counter(combo_digits).values()),Eliminate based on a custom tens-digit condition.,167/311,keeper,Eliminate if condition holds: (3 in Counter(combo_digits).values())
5F578,tens,(3 in Counter(combo_digits).values()),Eliminate based on a custom tens-digit condition.,167/311,keeper,Eliminate if condition holds: (3 in Counter(combo_digits).values())
5F624,tens,(sum(d % 2 == 0 for d in combo_digits) == 2),Eliminate based on a custom tens-digit condition.,5/311,keeper,Eliminate if condition holds: (sum(d % 2 == 0 for d in combo_digits) == 2)
63F186,tens,(any(v >=3 for v in Counter(combo_digits).values())),Eliminate based on a custom tens-digit condition.,204/311,keeper,Eliminate if condition holds: (any(v >=3 for v in Counter(combo_digits).values()))
63F224,tens,"(not any(d in combo_digits for d in [1,3,5]))",Eliminate based on a custom tens-digit condition.,1/311,keeper,"Eliminate if condition holds: (not any(d in combo_digits for d in [1,3,5]))"
63F275,tens,(sum(1 for d in combo_digits if d in seed_digits) >=4 and winner <28 and winner_structure == 5 and winner_structure == 5),Eliminate based on a custom tens-digit condition.,32/311,keeper,Eliminate if condition holds: (sum(1 for d in combo_digits if d in seed_digits) >=4 and winner <28 and winner_structure == 5 and winner_structure == 5)
63F280,tens,(sum(1 for d in combo_digits if d in seed_digits) >=4 and winner <22 and winner_structure == 5 and winner_structure == 5),Eliminate based on a custom tens-digit condition.,31/311,keeper,Eliminate if condition holds: (sum(1 for d in combo_digits if d in seed_digits) >=4 and winner <22 and winner_structure == 5 and winner_structure == 5)
67F274,tens,(sum(1 for d in combo_digits if d in seed_digits) >=4 and winner <29 and winner_structure == 5 and winner_structure == 5),Eliminate based on a custom tens-digit condition.,32/311,keeper,Eliminate if condition holds: (sum(1 for d in combo_digits if d in seed_digits) >=4 and winner <29 and winner_structure == 5 and winner_structure == 5)
67F279,tens,(sum(1 for d in combo_digits if d in seed_digits) >=4 and winner <24 and winner_structure == 5 and winner_structure == 5),Eliminate based on a custom tens-digit condition.,31/311,keeper,Eliminate if condition holds: (sum(1 for d in combo_digits if d in seed_digits) >=4 and winner <24 and winner_structure == 5 and winner_structure == 5)
6F058,tens,(winner % 10 == 8),Eliminate if the tens sum ends in 8.,19/311,keeper,Eliminate if condition holds: (winner % 10 == 8)
6F205,tens,(winner <8 or winner >28),Eliminate if the tens sum is greater than 28.,11/311,keeper,Eliminate if condition holds: (winner <8 or winner >28)
6F257,tens,(not (12<=winner<=25)),Eliminate based on a custom tens-digit condition.,58/311,keeper,Eliminate if condition holds: (not (12<=winner<=25))
6F266,tens,(winner%10==0),Eliminate based on a custom tens-digit condition.,34/311,keeper,Eliminate if condition holds: (winner%10==0)
6F311,tens,(sum(1 for d in combo_digits if d in seed_digits) >=4 and winner <13 and winner_structure == 5 and winner_structure == 5),Eliminate based on a custom tens-digit condition.,9/311,keeper,Eliminate if condition holds: (sum(1 for d in combo_digits if d in seed_digits) >=4 and winner <13 and winner_structure == 5 and winner_structure == 5)
6F321,tens,(not any(d in cold_digits for d in combo_digits)),Eliminate based on a custom tens-digit condition.,59/311,keeper,Eliminate if condition holds: (not any(d in cold_digits for d in combo_digits))
6F560,tens,(len(set(combo_digits).intersection(seed_digits)) == 1 and winner < 14),Eliminate based on a custom tens-digit condition.,0/311,keeper,Eliminate if condition holds: (len(set(combo_digits).intersection(seed_digits)) == 1 and winner < 14)
70F270,tens,(sum(1 for d in combo_digits if d in seed_digits) >=4 and winner <33 and winner_structure == 5 and winner_structure == 5),Eliminate based on a custom tens-digit condition.,32/311,keeper,Eliminate if condition holds: (sum(1 for d in combo_digits if d in seed_digits) >=4 and winner <33 and winner_structure == 5 and winner_structure == 5)
70F273,tens,(sum(1 for d in combo_digits if d in seed_digits) >=4 and winner <30 and winner_structure == 5 and winner_structure == 5),Eliminate based on a custom tens-digit condition.,32/311,keeper,Eliminate if condition holds: (sum(1 for d in combo_digits if d in seed_digits) >=4 and winner <30 and winner_structure == 5 and winner_structure == 5)
